;tweet_cleans;tweet_english;klasifikasi
13;coba puskeswan murah ngechat sih dokternya ga bayar kasih seikhlasnya aja kalo obat ga tau sihh;try a cheap puskeswan, chat, the doctor doesn't pay, just give it sincerely if you don't know the medicin;Positif
14;bener super duper busy sampe rumah jam segini efek pulang kantor langsung cus dokter tragedi sampe kali dokternya untung yg nemenin bener sabar banget ngadepin tau suka overthinking usaha nenangin;banner super duper busy arriving home at this hour, the effect of going straight home from the office, cus the doctor is a tragedy until the doctor is fortunate that the accompanying doctor is really patient, knows he likes to overthink, tries to calm down;Positif
15;disma ketawa pas sadar deh dikasih tau mama malu banget kirain dokternya nanya nama temen adek;disma laughed when he woke up, i was told by mom that i was really embarrassed to think the doctor was asking for the name of my sister's friend;Positif
16;put nie gmbaran aing pas buka oa trs trs ktiganya pas dokternya maap;put nie gmbaran aing pas buka oa trs trs ktiganya pas dokternya maap;Netral
17;sempet kena tipes dibawa dokter gara gara panasnya parah banget pas tiduran diambil sampel darah ketiduran bangun bangun tuh dokternya nyamperin nanya nama adek cont;i got typhus, the doctor brought me because the heat was really bad. when i lay down, a blood sample was taken. i fell asleep and woke up. the doctor came over to ask my sister's name, cont.;Negatif
18;akwkwkwkwk dokternya dipeluuuk;awwwwwwww the doctor is being hug;Netral
19;smoga penjelasan dr dokternya gangguan darimana tangannya;i hope the explanation from the doctor is where the problem comes from;Netral
20;aduh ya season nya iya butuh banget season kejelasan dokternya tuh gimana wkwk seru tauuu;oops, yes, the season really needs a season, the doctor's clarity, how is it, it's fun, you know;Positif
21;ngantar mama berobat ketht udh pas smpe dokternya udh pulang terpaksa bsk lg uang berobatnya terpakai smga aja bsk byk orderan tambahan berobat karna km gk pake bpjs bpjsnya mati karna gk doain mamaku sembuh ya kachit;i took my mom for treatment when i got home the doctor had to go home again, i had to use the money for the treatment so that there could be a lot of additional orders for treatment because you didn't use bpjs.;Netral
22;aja pake kayak pelukan ciuman bertukar saliva kdj natap horor dokter depannya da;don't use it like a hug, kiss, exchange saliva, look at the doctor in horror in front of you da;Netral
23;coba dikasih buah yg lembek kayak buah naga semangka konsumsi zat besi bayi setahun bab nya lancar sempet sembelit keras hitam sempet berhenti zat besi dimarahin dokternya sebulanan pake buah naga lancar bab keras;try giving soft fruit like dragon fruit watermelon consumption of iron baby for a year the chapter is smooth but hard constipation black even stopped iron doctor scolded the doctor for a month using dragon fruit smooth hard chapt;Positif
24;besok janji dokter takut haha pingin dokter trauma gitu ketemu dokter dokternya salah sih takut haha gelisah;tomorrow's doctor's appointment, i'm afraid haha ??i want a traumatized doctor so i'm meeting the wrong doctor, i'm afraid haha ??nerv;Negatif
25;yoongi bilang gak pake skincare mahal gak cocok dokternya pake skincare yg kandungannya bagus lupa vlive;yoongi said he didn't use expensive skincare, it wasn't suitable for the doctor to use skincare with good ingredients, forgot to vl;Positif
26;banget dokternya masyaallah;masha allah very doctor;Positif
27;dokternya pribadinya;personal doctor;Netral
28;pe gais muka batu kemaren dok izin hasilnya dok berkali kali dokternya nggak denger liat kebawah gais mic salah yasudahlah fotokan;pe, guys, stone face yesterday, doc, let me get the results, doc, many times, the doctor doesn't listen, look down, guys, the mic is wrong, so take a pictur;Negatif
29;bawa surat pengantar kampus janji dokternya;bring your doctor's appointment college cover lett;Netral
30;ges yg bilang makasih dok ikutan ngomong doang dokternya ga leave diem aja;ges who said thank you, doc, just said the doctor didn't leave him alon;Netral
31;gtw dokternya tinggal cabut tambel gigi ban tambel;gta, the doctor just needs to remove the filling from the patch band;Netral
32;aja janjian dokternya;don't make a doctor's appoint;Netral
33;pas dibersihin didokternyaa dibersihin ngunyah gabisa sakit bgtt emg dicabutt coba aja dokternya tunggu seminggu sakit;when it's cleaned, the doctor cleans it, chews it, it doesn't hurt so much, it's removed, try the doctor, wait a week to be sick;Negatif
34;pandemi udh flu dokter ga sm dokternya dokternya tau meureun yg mengarah covid engga;the pandemic is already flu, the doctor and the doctor don't know what is leading to covid or not;Netral
35;diakhir zoom matur dokternya sugeng dalu dok ngakak kalo org;at the end of the mature zoom, the doctor is happy, the doctor laughs when peopl;Positif
36;bawa ga yg anter suami kerja keluarganya ga peduli bawa anak grab sampe klinik susternya sampe bingung bru lahiran dibiarin dateng dsa bilang anakku normal bb bagus gumoh bayi ga asi yg jelek;don't bring my husband to work, the family doesn't care, take the child, grab it to the clinic, the nurse is confused, then the birth is allowed to come, dsa says my child is normal, bb is good, spit out baby, doesn't give bad milk;Negatif
37;gamau dokter plis plis takut pingsan liat dokternya hahahahhaha;i don't want the doctor, pls, i'm afraid to faint when i see the doctor hahahahhaha;Negatif
38;mi lahir dokternya bilang bisik bisik ya allah mukanya ga mukanya lahirnya pantat duluan;mi was born, the doctor said whisper, oh my god, his face didn't come out of his butt first;Positif
39;vibesnya drama medis yixing yg dokternya aksjsjssh sabi ngambil project yg ginian;vibes is the medical drama yixing, where the doctor is ready to take on a project like thi;Positif
40;ntar diedukasi dokternya baiknya gimanaaa nilai fungsi kesehatan estetika;later in the doctor's education, it's good how the value of aesthetic health functions i;Positif
41;abis copot geraham kanan kiri trs dokternya emng diganti gigi nnti rahang atasnya tuh turun karna geraham dh gaada;after removing the right and left molars, the doctor did replace the teeth later on the upper jaw dropped because the molars were miss;Positif
42;hahahahahah maap lulus uji kebucinan deh al gue susternya dlm hati anjir gue malem kerja cm liat org bucin doang;hahahaha sorry i passed the noise test, all i'm the sister in my heart, i'm working at night, just watch the bucin peopl;Negatif
43;bu dokternya bikin takut;the doctor scares m;Netral
44;sayangnya dokternya afk mafia polisinya on;unfortunately the doctor is afk mafia the police are on;Negatif
45;ngga habis tambal gigi ngga ngilu rada ganjel aja coba tanyain dokternya;it doesn't finish filling the tooth, it doesn't hurt, it feels awkward, just ask the doctor;Negatif
46;susternya ga resign aja liat bucin mah liat ayangnya mulu;the nurse didn't resign, just look at the bucin, i see the sad th;Negatif
47;gue jadwal check up dokter gt dokternya tuh blg wa april maret ya tp mak gue udah nanyain mulu blm wa wkwkwk grgr dokternya ganteng;i schedule a doctor's check-up, gt the doctor said it was april, march, yes, but my mother asked me before, i didn't, wow, grgr the doctor is handsom;Positif
48;sayangnya dokternya udah uzur umurnya nyentrik penampilannya;unfortunately, the doctor is old and has an eccentric appear;Negatif
49;rek pengguna kacamata kacamata trus mata ditutup salah ngelihat gak minusku kiri pas pakek kacamata trus mata kanan tutup mata kiriku gk ngelihatnya dokternya cont;check the user is wearing glasses, but the eye is closed, i can't see the wrong eye, minus my left when i wear glasses, then my right eye closes my left eye, i can't see the doctor, cont;Negatif
50;mesra mesraan gak kasian sm susternya ud menahan berdiri tegak melawan;intimate, friendly, it's not a pity for the sister to hold her head against;Positif
51;kalo udah dokter aja kakk gppa kokk dokternya takut trs biar ga khawatir;if you're already a doctor, it's okay, how come the doctor is afraid, so don't worri;Negatif
52;ehh udah selesai dokternya;uhh the doctor is don;Netral
53;who lembaga kesehatan international tertinggi apapun negara yg;who is the highest international health institution as for the country that;Netral
54;who lembaga kesehatan international tertinggi apapun negara yg bergerak instansi kesehatan manut sepintar apapun dokternya ok masyarakat awam kena dampaknya fuck bodoh yg ikutin who;who is the highest international health institution, whatever country is operating, the health agency is obedient, no matter how smart the doctor is, it's ok, ordinary people will be affected. fuck stupid people who follow who;Negatif
56;pngn jdi susternya biar lbh liatnya;i want to be a sister so i can see mor;Negatif
57;udah ga sungkan nyium org kasian susternya zomblo ikatancinta;i don't hesitate to kiss people, poor sister, single, bond of lov;Positif
58;dokternya ganteng bagus ngobatin pelipur lara;the doctor is handsome, good at treating solac;Positif
59;mesra mesraan gak kasian sm susternya ud menahan berdiri tegak melawan mleyotan;intimate, friendly, it's not a pity for the sister to hold her back against mleyotan;Netral
60;rajin periksa gigi kalo dokternya sih;diligently check your teeth if the doctor i;Positif
61;protes dokternya gapapa biar seru aja nanges;it's okay to protest the doctor, let's just have fun cri;Positif
62;eneg liat susternya;nice to see the sist;Netral
63;susternya ga ramah bintang;the sister is not star friendli;Negatif
64;susternya takut aldebaran nyusruk andin;the nurse is afraid that aldebaran will push andin;Negatif
65;susternya ga ramah yee wkwk ikatancinta;the sister is not friendly, yee, the bond of lov;Netral
66;susternya haaaah deh;the sister is haaaah;Netral
67;susternya nggak gantiin ikatancinta;the sister doesn't change the bond of lov;Netral
68;tinggalkan dokternya;leave the doctor;Positif
69;pagi terbunuh ww dokternya pinter nyelametin orang;killed in the morning ww the doctor is good at saving peopl;Netral
70;cari booster vaksin yg dokternya kaya gini dimana ya;where do you find a vaccine booster with a doctor like this?;Netral
71;kayanya kamis yaa kayanya engga kemaren dokternya bilang yaaa sek jokesnya tydac duanya;looks like it's thursday, doesn't it seem like yesterday the doctor said yes, the jokes are second to non;Positif
72;eh nih km ngotot dokternya pokoknya pgn manjangin kaki and then dokternya berhasil;hey, you insist on the doctor, just need to stretch your legs and then the doctor is success;Netral
73;info klinik yg dokternya sejenis ahn jeong won;info on a clinic whose doctor is like ahn jeong won;Negatif
74;dokternya ngasih gue obat ya gue keringetan mulu pagi dingin wkwkw;the doctor gave me medicine, yes, i'm sweaty in the morning, it's cold;Netral
75;oia yg dokternya tusuk ya;oh the one the doctor stabbed ya;Netral
76;dokternya;the doctor;Negatif
77;bayangin batuk pilek dokternya gitu;imagine the doctor's cough and cold;Netral
78;habis dokternya;finished the doctor;Positif
79;dokternya pengertian ku tidur miring nggak papa telentang nt kalo uda gede miring krna susah;the doctor understands that i sleep on my side, it's okay on my back, but when i grow up, it's on my side because it's hard;Negatif
80;ga pasien keadaannya perburukan dokternya nggak care membekas banget perkataan beliauu;the patient's condition is getting worse, the doctor doesn't really care about his word;Positif
81;gue nginep ruang dokternya gapapa banget si chi;i stay in the doctor's room, it's really okay, chi;Netral
82;dokternya serem ya;the doctor is scari;Netral
83;kalo dokternya kaya gini gue check up;if the doctor is like this, i'll check up;Positif
84;liat toktoknya drh gemes liat hewan monyet gak makan dokternya diajak ngobrol dipegangin tangannya eh makan;look at the toktok, drh is happy to see the monkey animal doesn't eat, the doctor is invited to talk and holds his hand, he eat;Negatif
85;dokternya maaf abis lebaran;sorry doctor after eid;Positif
86;dokternya kyak gini kyaknya gk takut rumah sakit;the doctor looks like he's not afraid of the hospit;Negatif
87;dokternya kece maaf td ngeroasting gua sih engga;the doctor is cool, sorry for not roasting m;Positif
88;keren pol dokternya;cool doctor;Netral
89;gua inih dokternya;i'm the doctor;Negatif
90;maap ikutan nimbrung ga nya ren kali aja kn berjodoh maap ketidaktauan parfum dri bln to blm kebeli krna gaji jasa blm turun biar pasien cium dokternya wangi gk bau keringat;i'm sorry to join in, doesn't it just a couple of times, sorry for not knowing perfume, haven't bought it yet, because the service salary hasn't come down, so the patient kisses the doctor, smells good, doesn't smell like sweat;Netral
91;memutuskan dokter minum dokternya menyarankan;decided the doctor drank the doctor suggest;Negatif
92;mending dokternya maaf;sorry doctor;Negatif
93;gua gapernah sakit gigi lay dokternya gua usahain gimana biar gua sakit gigi;i've never had a toothache, the doctor's lay me down how to make my toothach;Negatif
94;hsggshahz gw rumah sakit oksigen trs dokternya jorokin kim taeyoung;hsggshahz i'm an oxygen hospital, so the doctor is dirty, kim taeyoung;Positif
95;kalo dokternya model sih betah rs;if the doctor is a model, i feel comfortable at r;Netral
96;iya gue baca review google trus eh opening hours nya cocok gimana fik antre ga trus dokternya sabar ga;yes, i read the google review and then the opening hours match, how do you know if there's a line and the doctor is patient?;Negatif
97;dokternya sampe kaget demam dr februari periksa skrg wkwkwk;the doctor was shocked that he had a fever since february, check it now wkwkwk;Positif
98;drh yosep sutarji aja mal gue kesitu dokternya super oke cons nya weekday praktek weekend sabtu doang buka jam;drh yosep sutarji just go to the mall, the doctor is super okay, cons it's weekdays practice weekends saturday only open hour;Negatif
99;udah ujan ujanan macet macetan rs eh dokternya ga praktek prakteknya rabu kirain hr rabu dasar bego;it's raining, there's a traffic jam at the hospital, the doctor doesn't practice on wednesday, i think it's wednesday, you idiot;Netral
100;gue rumah sakit oksigen dokternya jorokim kim taeyoung;i'm an oxygen hospital, the doctor is jorokim kim taeyoung;Positif
101;diketawain dokter alasan periksanya tuh keracunan mie ayam untung dokternya ramah;the doctor laughed at the reason for the examination, it was chicken noodle poisoning, fortunately the doctor was friendli;Netral
102;ga yg keputihan periksa dokter skrg ga keputihan dikasi sm dokter dokternya bilang apaa;no vaginal discharge, check the doctor now, no vaginal discharge, given by the doctor, what did the doctor say;Positif
103;gay panic dokternya cantik;gay panic the doctor is beauti;Positif
104;pasang infus dokternya bgtt jam;put in the doctor's infusion very hour;Netral
105;dokternya uveitis komplikasi katarak katarak sembuhkan dgn operasi;the doctor uveitis cataract complications cataract cured by surgeri;Positif
106;kalo obat tuh tergantung obat yg emg gak dicover bpjs bayar diinfoin dokternya gak kasir gtu ya jgn berharap bpjs cover obat obat begituan aslinya emg mahal;if the medicine depends on the medicine that is not covered by the bpjs paying, the doctor is informed, the cashier isn't like that, don't expect the bpjs to cover the medicine, the original medicine is really expens;Negatif
107;gue bawel dokternya misuh ga ya;i'm fussy, the doctor is bad, isn't it?;Netral
108;dokternya gabisa menentukan pemeriksaan aja;the doctor can't determine the examin;Netral
109;gue emang dokternya lu obatnya;i'm the doctor, you're the medicin;Positif
110;gak nyinggung fisik my ex kecuali pas habis mcu dibilang dokternya kurus ku sentil dikit mangkannya makannya dibanyakin picky semoga tersinggung sakit hati;i didn't physically offend my ex except when i finished saying that the doctor was skinny, i flicked it a little bit, eat more picky, hopefully i'll be offended and hurt;Netral
111;suru ugd dokternya wkwk males;suru ugd dokternya wkwk mal;Positif
112;jumat malam minggu digofod tin dokternya owner nya gak pelit berbagi orang disana banget kalo berangkat nebeng posisinya emang arah aja cerita makasi;friday night, i went to gofod the doctor, the owner wasn't stingy about sharing people there, really, if you go to explore, the position is just the direction, thank y;Positif
113;tuh kerjanya makan disana makan nyaman udh gitu kaya dimanja gitu alhamdulillah banget langsung dpt kerja yg enak posisinya aja lulus smk disana dokternya;it's work, eating there, eating comfortably, it's like being pampered, thank god, i immediately got a good job, just graduated from high school there, the doctor;Negatif
114;gue dokternya lo obatnya halahhhhhhh;i'm the doctor, you're the medicine lol;Netral
115;gue mencatat yg dokternya jelasin si gak kalo ratusan slide dibahas pertemuan dijelasin dokternya yg ujian;i took notes that the doctor explained or not, if hundreds of slides were discussed, the meeting was explained by the doctor who took the exam;Positif
116;kaget denger susternya ngomong orang sadar koma langsung dikasih tau berat ikatancinta;surprised to hear the nurse say that people who are conscious of a coma are immediately told the weight of the bond of lov;Netral
117;trailer dokternya bilang al kalo kondisi andin udah stabil nih kl udah blg stabil gt andinn;the doctor's trailer says that if andin's condition is stable, if it's not stable, then andin;Positif
118;asli deh nunggu dokternya bgttt kek jamnya tu jam gt si drnya trus udh daftar via tlp dapet no urut trus dateng jam ya solat dlu beres kelas trus pas susternya tuh bilang gini ditunggu ya dr nya;the original was waiting for the doctor, how come the clock is gt, the dr. has registered via phone, got the serial number, then came at the time, so the prayer was done, the class was over, then when the nurse said, wait, the doctor;Negatif
119;cm kalo absen sakit surat dokternya bilang pj aja chat dosennya kalo chat gimana thank youuuuu;cm if you are absent sick, the doctor's letter says, just chat with the lecturer, how about chatting, thank youuuuu;Netral
120;nganterin kakek rs gw diliatin ama dokternya;i took my hospital grandfather to see the doctor;Netral
121;gue dokternya lo obatnya halahhhhhhh;i'm the doctor, you're the medicine lol;Netral
122;gue mencatat yg dokternya jelasin si gak kalo ratusan slide dibahas pertemuan dijelasin dokternya yg ujian;i took notes that the doctor explained or not, if hundreds of slides were discussed, the meeting was explained by the doctor who took the exam;Positif
123;kaget denger susternya ngomong orang sadar koma langsung dikasih tau berat ikatancinta;surprised to hear the nurse say that people who are conscious of a coma are immediately told the weight of the bond of lov;Netral
124;trailer dokternya bilang al kalo kondisi andin udah stabil nih kl udah blg stabil gt andinn;the doctor's trailer says that if andin's condition is stable, if it's not stable, then andin;Positif
125;asli deh nunggu dokternya bgttt kek jamnya tu jam gt si drnya trus udh daftar via tlp dapet no urut trus dateng jam ya solat dlu beres kelas trus pas susternya tuh bilang gini ditunggu ya dr nya;the original was waiting for the doctor, how come the clock is gt, the dr. has registered via phone, got the serial number, then came at the time, so the prayer was done, the class was over, then when the nurse said, wait, the doctor;Negatif
126;cm kalo absen sakit surat dokternya bilang pj aja chat dosennya kalo chat gimana thank youuuuu;cm if you are absent sick, the doctor's letter says, just chat with the lecturer, how about chatting, thank youuuuu;Netral
127;nganterin kakek rs gw diliatin ama dokternya;i took my hospital grandfather to see the doctor;Netral
128;pas kontrol dokternya jelasin hahah gue ga paham maksudnya dokter gue nyeletuk iya dok gigi dokternya bilang gigi ga salah loh udah normal gusi giginya yg;when the doctor checked, he explained hahaha i don't understand what he meant, my doctor said yes, the dentist, the doctor said that the teeth were not wrong, the gums were normal, the teeth were normal.;Negatif
129;kompetisi militer wuhan pasukan amerika yg masuk rs dirawat dijemput pulang amerika china tau covid dokternya bilang atlet militer amerika sakit malaria;wuhan military competition american troops who entered the hospital were treated and picked up by america china found out about covid, the doctor said american military athletes were sick with malaria;Netral
130;pgn mieeeee tp dokternya bole;pgn mieeee but the doctor can;Netral
131;dokter masi dianterin mama mama yg ngobrol dokternya;the doctor is still accompanied by mama mama who talks to the doctor;Positif
132;struggle udh bahas biokim kek dokternya tuh pinteeeerrr banget sampe ga mudeng yg beliau bahas;struggle has already discussed biochemistry, the doctor is really smart, i can't understand what he's talking about;Netral
133;meng ku kaya gini langsung dikasih obat tetes mata dr merek cendrid ak dr dokternya langsung virus herpes nya;if i was like this, i was immediately given eye drops from the cendrid brand, and the doctor immediately gave me the herpes viru;Netral
134;dokternya spesialis bakso;the doctor is a meatball specialist;Positif
135;luka kondisi amoy bersihin abses punggung lukanya ga dijahit dokternya ditutup pe;amoy's condition wound, clean the back abscess, the wound was not stitched, the doctor closed it;Positif
136;takut bgtt tp dokternya kl gak ditindak lumpuh iya aamiin makasih yaa;i'm really scared, but the doctor is not paralyzed, yes, thank you, thank y;Positif
137;luka kondisi amoy bersihin abses punggung lukanya ga dijahit dokternya ditutup perban disiram cairan pokonya perbannya lembab doakan amoy lekas pulih ya kak;amoy's wound cleaned the back abscess, the wound wasn't stitched up, the doctor covered it with a bandage, sprinkled with water, the bandage was moist, i pray for amoy to recover quickly, si;Positif
139;psa dokternya minggu besok dicabut kalo gamau keliatan ompong ya dibehel wow sy shock tbtb berbehel;psa the doctor will be removed next week, if you don't want to look toothless, fix it, wow, i'm in shock tbtb with brac;Netral
140;ya elah udh nunggu menitan tp dokternya kagak;well, i've been waiting for minutes but the doctor isn't;Netral
141;mu dr dokternya yg perawatan jerawat yh;you're the doctor who treats acne yh;Positif
142;dokternya junjinjoy nyaman gkkk sm ak junjinjoy;junjinjoy's doctor is comfortable, isn't it with junjinjoy;Netral
143;update dokternya;update the doctor;Negatif
144;dokternya yg ngangguk spy km yg ngomong;the doctor nods, so it's you who speak;Positif
145;loooh gpp ga malu jugak behel gigiku jelekkk karang gigi tp gapapa dokternya ngasih saran gimana gimananya;the gpp logo is not ashamed of my braces, my teeth are bad, tartar, but it's okay the doctor gives advice on how to do it;Positif
147;gapapa ndeer dokternya udah terbiasa koook;it's okay, the doctor is used to it, how com;Negatif
148;ganti karet dokternya full janji ah bt;change the doctor's rubber full appointment ah bt;Negatif
149;ambil sks organisasi freelance kadang volunteer uas kalo nggak liburan gitu tepar sampe dokternya hafal gue sakit tuh ya menjelang ujian habis ujian;take credit for freelance organizations, sometimes volunteer, if i don't take a vacation, it's time for the doctor to memorize me, i'm sick right before the exam end;Netral
150;dokternya kemakan omongan;the doctor is talk;Netral
151;dokternya besok ajalah sore ujan;the doctor, tomorrow it will rain;Positif
152;operasi istri aja mundur jam minggu dokternya rs jkt;wife's surgery is postponed to sunday, the doctor is at the jakarta hospit;Positif
153;dokternya jantungnya pakai alat;the doctor uses a heart tool;Netral
154;egk krasa sih tp dokternya gk karang giginya mgkn gak efeknya kbtulan ak suka makan apel dn trnyta emg mayan bantu bersihin karang gigi cmiiw;it doesn't feel good, but the doctor doesn't have tartar, maybe it doesn't have an effect on birth, i like to eat apples and it turns out that it's really helpful to clean tartar cmiiw;Negatif
155;nggapapa siih kemaren abis mencret gatau efek meo ngga dokternya karna bakteri parasit;it's okay, yesterday i had diarrhea, i don't know the effect of meo or not the doctor because of parasitic bacteria;Positif
156;tanyain dokternya;ask the doctor;Netral
157;udah dokter tpi kta dokternya reaksi obatnya mpe malam tenkyu btw sarannya ya kak;i'm a doctor, but the doctor said the reaction to the medicine was late, tenkyu btw, what's the advice, si;Netral
158;no antrian dateng nya jam set dokternya op wehehe mantaavvv ayyy;no queue, the doctor's set time is op hehehe it's great ayyyi;Positif
160;nungguin dokternya kelar praktek yaah ngobrol meng ruangan dokternya btw;waiting for the doctor to finish his practice, let's chat in the doctor's room btw;Positif
161;wakakak iya daang dibilangin ama dokternya kena omicron sebenernya gue disuruh rawat inap rs rujukan rumah kaga yg nyetir mobil jarak rs rumah jam yaa gue isoman aja;lol, yes, the doctor told me that he had an omicron, actually i was told to be hospitalized at a referral hospital, if you don't drive a car the distance from your house is at an hour, i'm just isoman;Netral
162;si dokternya emg nakutin sih;the doctor is really scari;Netral
163;yg dokternya udh sepuh mba;whose doctor is old, m;Netral
164;iya dyen sungkan ama dokternya sungkan ama npc;yes, dyen hesitates with the doctor and the npc;Negatif
165;kalo dokternya smua rela vaksin sampe;if the doctors are all willing to get the vaccin;Negatif
166;ooo tp ga dipake terapi ya aq ga denger aq yg kudet yak dokternya nyaranin ga vax lha gmn mba;ooo, but i didn't use therapy, i didn't hear that i was a curmudgeon, the doctor suggested no vax, how about it, ms.;Negatif
167;kliru dokternya kuwi kudu makan yg;the doctor's mistake is to eat that;Negatif
168;agt skrg udah dirawat dokternya bingung knp umur segini udah byk sakitnya ya jalan hidup yg diambil pas penyebabnya;aug now that the doctor has been treated, the doctor is confused, why at this age there is already a lot of pain, the way of life that is taken is the caus;Netral
169;wktu faskes nya pake nyeritain detail ngga ya ka takut dibilangin ortu dokternya kenal deket keluargaku;when the health facility uses details, don't you think i'm afraid that the doctor's parents know close to my famili;Negatif
170;sesuai prosedur mon maap prosedur ya aja dokternya bilang suami papanya konser bu andin gt;according to the procedure, mon, sorry for the procedure, the doctor said that her father's husband had a concert, mrs. andin, gt;Positif
174;kadang suka kesel dokternya bilang gakenapa ko sakitt banget woyy plis tolonggggg;sometimes i like to be annoyed, the doctor says why is it so sick woi pls help;Netral
175;blm baca dokternya mgkin;haven't read the doctor mayb;Positif
178;sebenernya intinya tensi yg turun dokternya aja yg ruwet gk mudah nurunin tensinya andin gk andin dikasih cairan penurun tekanan darah gk gk;actually, it means that the doctor's blood pressure lowering is complicated, it's not easy to lower the blood pressure and you're not given blood pressure-lowering fluids, isn't it?;Negatif
179;dokternya sampe excited riwayat gue ga kena bully ga abusive rumah sampe borderline tuh gue ga tau njing;the doctor was excited about my history, i wasn't bullied, i wasn't abusive at home, i was borderline, i didn't know;Positif
180;dokternya peremuan;female doctor;Netral
181;silahturahmi dokternya;doctor's friendship;Positif
182;gue scaling udh janjian sm dokternya ga tau lokasi kliniknya wkwkkwkwkwkwkwkwkwk bloon;i'm scaling, i already made an appointment with the doctor, i don't know the location of the clinic, wowwwwwwwwwwwwwwwwwwwwwwwwwwww lol;Netral
183;ya ampun dokternya galak;oh my gosh the doctor is fierc;Positif
184;dokternya kaleng kaleng loh dekade mendedikasikan konservasi satwa liar layak nominasi kalpat;the doctor is a tin can, decade of dedication to wildlife conservation, worthy of a kalpat nomin;Netral
185;kalo dokternya beneran dylan aaaaa mingdep yaa;if the doctor is really dylan aaaaa, that's fin;Positif
186;cpek bet njir tambal gigi bener mna dokternya udh gnti hri lgi pdhl udh liburin kuliah cuk dpet dokter ga enk lgi anjir sakit kli gigi diituin;the specs for the bet that the patient has fillings are correct, where the doctor has changed again, even though it's time to leave college, just get a doctor, it doesn't feel good anymore when the tooth hurt;Positif
187;temen operasi hidung keren beraniii btw pake duit cuy bingung diizinin dokternya hmmm minor;cool nose job buddy, how dare you use money, i'm confused if the doctor is allowed to do it hmmm minor;Netral
188;salah bikin tetep semangat pas nyusun gigi koreksi seneng kalo kerjaan diapresiasi dokternya aaa berasa ga sia sia gitu jari gue sempet kebakar;it's wrong to keep my spirits up when i arrange my corrected teeth, i'm happy if the doctor appreciates my work, i don't think it's in vain, so my fingers get burn;Positif
189;alodoc ga ah gue udh bikin appointment alodoc berharap cepet kelar eh dokternya udah jam ga dateng dateng;hellodoc or not, i've already made an appointment, hellodoc, i hope it will be over soon, eh, the doctor has not com;Negatif
190;dokternya jam karet;the doctor is rubber clock;Negatif
191;anakku konsumsi zat besi sampe umur diresepin dokternya oke pupnya kesini keras item pdhl konsumsi airputihnya sdh beda dokter emg zat besi bikin sembelit bimbang;my son took iron until he was prescribed by the doctor, okay, the pup is here, it's hard, the item is that the water consumption is different, the doctor, does iron make constipation worri;Negatif
192;tergantung sakitnya gmn sih kalo dokternya ngaruh kalo spesialis ya mehong;it depends on the pain, how about if the doctor tells you to be a specialist, you'll be li;Positif
